kicks,kicks_prop,marks,marks_prop,handballs,handballs_prop,disposals,disposals_prop,effective_disposals,disposal_efficiency_percentage,goals,goals_prop,behinds,behinds_prop,tackles,tackles_prop,rebounds,inside_fifties,inside_fifties_prop,clearances,clearances_prop,clangers,free_kicks_for,free_kicks_against,contested_possessions,contested_possessions_prop,uncontested_possessions,uncontested_possessions_prop,contested_marks,contested_marks_prop,marks_inside_fifty,marks_inside_fifty_prop,one_percenters,bounces,goal_assists,goal_assists_prop,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers_prop,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,shots_at_goal,shots_at_goal_prop,spoils,margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
23,0.050997782705099776,5,0.029239766081871343,1,0.0033112582781456954,24,0.03187250996015936,18,75,0,0,0,0,1,0.012345679012345678,11,1,0.008620689655172414,1,0.013513513513513514,3,1,0,5,0.017543859649122806,13,0.02947845804988662,0,0,0,0,2,1,0,0,91,91,94,0,1,3,740,0.06338028169014084,6,0,1,4,0,0,12,17,0,4,0,0,14,9.6,2,0,0,2,-25,14,11,80,0,0,0,1,109,1,0,0,0,1,0,0,0,0,-0.32663285732269287,Sam Docherty,0,15875,1,Carlton,2021,46,0
12,0.029197080291970802,6,0.03260869565217391,5,0.020242914979757085,17,0.025835866261398176,11,65,0,0,0,0,1,0.009259259259259259,1,4,0.043010752688172046,2,0.02564102564102564,4,2,0,4,0.015037593984962405,13,0.032663316582914576,0,0,0,0,0,0,1,0.07692307692307693,83,70,61,1,1,6,407,0.03225806451612903,2,0,0,0,0,0,6,9,1,2,1,0,6,5.3,2,0,0,0,97,10,21,136,0,0,0,0,109,0,1,0,0,1,0,0,0,0,0.022090444341301918,Jed Bews,0,15921,6,Geelong,2021,16,0
9,0.022388059701492536,2,0.011904761904761904,6,0.024489795918367346,15,0.023183925811437404,10,67,0,0,0,0,4,0.0392156862745098,4,2,0.020618556701030927,0,0,4,1,0,4,0.01652892561983471,10,0.02680965147453083,0,0,0,0,2,0,1,0.04,79,62,59,0,0,2,128,0.03333333333333333,3,0,0,1,0,0,12,4,0,3,0,0,16,3.5,0,0,0,2,-21,7,14,91,0,0,0,0,117,1,0,0,0,1,0,0,0,0,0.0027384578716009855,Darcy Byrne-Jones,0,16009,13,Port Adelaide,2021,33,0
5,0.010822510822510822,4,0.01834862385321101,17,0.06367041198501873,22,0.03017832647462277,13,59,0,0,0,0,5,0.040983606557377046,0,1,0.011235955056179775,2,0.02666666666666667,4,0,0,9,0.03202846975088968,13,0.02981651376146789,1,0.043478260869565216,0,0,1,1,1,0.058823529411764705,89,81,79,0,2,3,107,0.02054794520547945,2,0,1,1,0,0,19,3,0,6,0,0,26,2,0,0,0,1,-20,4,13,82,0,0,0,0,228,1,0,0,0,0,0,0,0,1,-0.03992123529314995,Jack Redden,0,15905,4,West Coast,2021,43,0
20,0.04329004329004329,15,0.06912442396313365,3,0.010309278350515464,23,0.03054448871181939,18,78,0,0,0,0,0,0,2,1,0.01098901098901099,0,0,4,1,2,3,0.010676156583629894,22,0.04602510460251046,0,0,0,0,3,1,1,0.05263157894736842,86,106,77,0,0,3,279,0.03007518796992481,3,0,3,4,0,0,6,15,0,2,1,0,6,0.4,1,0,0,1,27,7,16,103,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0.11265964806079865,Josh Rotham,0,15912,5,West Coast,2021,12,0
13,0.029885057471264367,7,0.03365384615384615,13,0.039755351681957186,26,0.03412073490813648,17,65,1,0.04,1,0.043478260869565216,5,0.06097560975609756,1,7,0.06542056074766354,3,0.04477611940298507,1,2,0,10,0.038461538461538464,14,0.02857142857142857,1,0.03125,0,0,3,0,1,0.06666666666666667,74,115,120,2,1,8,304,0.029411764705882353,2,0,0,0,1,0,11,8,3,6,1,1,20,12.5,3,2,0.03636363636363636,1,-15,9,12,81,0,0,0,0,180,1,0,0,0,0,1,0,0,0,0.6592409014701843,Chad Wingard,0,15910,4,Hawthorn,2021,5,0
21,0.0457516339869281,7,0.061946902654867256,3,0.010752688172043012,24,0.032520325203252036,20,83,0,0,0,0,2,0.012578616352201259,10,1,0.009009009009009009,0,0,4,2,2,7,0.021538461538461538,9,0.024456521739130436,2,0.125,0,0,16,1,0,0,100,94,160,0,0,2,445,0.03076923076923077,13,0,5,10,0,0,4,17,0,3,6,0,5,16.9,2,0,0,16,-6,12,8,60,0,0,0,0,77,1,0,0,0,0,0,0,0,0,1.2807706594467163,Dougal Howard,0,16016,13,St Kilda,2021,3,1
6,0.015,4,0.022598870056497175,6,0.01892744479495268,12,0.016736401673640166,9,75,1,0.043478260869565216,2,0.16666666666666666,4,0.034482758620689655,0,1,0.01020408163265306,2,0.02631578947368421,4,3,1,7,0.026923076923076925,6,0.013157894736842105,0,0,2,0.09090909090909091,2,0,1,0.0625,92,67,59,0,2,5,94,0.023076923076923078,2,1,0,0,2,2,3,3,3,3,0,1,8,2.4,1,3,0.07142857142857142,2,-38,9,8,57,0,0,0,0,189,1,0,0,1,0,0,0,0,0,0.026703987270593643,Tom J. Lynch,0,16068,19,Richmond,2021,19,0
15,0.034324942791762014,2,0.010416666666666666,13,0.05019305019305019,28,0.040229885057471264,23,82,2,0.08695652173913043,1,0.05,5,0.049019607843137254,0,7,0.0673076923076923,7,0.08974358974358974,1,3,1,14,0.05303030303030303,14,0.03365384615384615,0,0,2,0.06896551724137931,2,0,1,0.05555555555555555,78,110,150,4,3,12,517,0,6,0,0,1,0,0,7,11,2,8,2,0,15,29.5,4,4,0.06896551724137931,1,14,17,12,89,0,0,9,0,246,0,1,1,0,0,0,0,0,0,3.2026054859161377,Callan Ward,0,16102,23,Greater Western Sydney,2021,1,3
10,0.021141649048625793,3,0.014925373134328358,5,0.01592356687898089,15,0.01905972045743329,10,67,0,0,0,0,4,0.03076923076923077,5,1,0.00980392156862745,0,0,1,1,0,4,0.014545454545454545,12,0.02414486921529175,0,0,0,0,2,0,0,0,75,66,62,0,0,4,290,0.014814814814814815,4,0,0,0,0,0,7,6,0,3,0,0,10,6.1,0,0,0,2,-9,13,8,61,0,0,0,0,37,1,0,0,0,0,0,0,0,0,-0.014549012295901775,John Noble,0,16041,16,Collingwood,2021,35,0
5,0.012195121951219513,0,0,3,0.01293103448275862,8,0.012461059190031152,4,50,0,0,0,0,1,0.008771929824561403,0,4,0.0380952380952381,4,0.05405405405405406,5,1,1,6,0.023166023166023165,1,0.0027247956403269754,0,0,0,0,3,0,1,0.0625,74,31,43,3,1,2,139,0.023809523809523808,0,0,0,0,1,0,2,2,0,4,0,0,8,5.3,2,0,0,3,-44,8,7,50,0,0,0,0,47,1,0,1,0,0,0,0,0,0,-0.0012151504633948207,Esava Ratugolea,0,16025,15,Geelong,2021,31,0
16,0.03187250996015936,11,0.06043956043956044,5,0.022026431718061675,21,0.02880658436213992,12,57,0,0,1,0.05,0,0,1,5,0.04950495049504951,0,0,5,1,1,8,0.027303754266211604,14,0.035,4,0.2222222222222222,0,0,3,0,0,0,97,90,86,0,0,3,472,0.047619047619047616,13,0,0,3,0,0,1,8,0,3,9,0,1,5.1,2,1,0.018518518518518517,3,11,16,9,70,0,0,4,0,146,0,1,0,0,1,0,0,0,0,1.7049788236618042,Liam Jones,0,15906,4,Carlton,2021,3,1
10,0.02066115702479339,3,0.012295081967213115,11,0.03806228373702422,21,0.027166882276843468,16,76,1,0.05263157894736842,0,0,4,0.03669724770642202,0,1,0.010309278350515464,5,0.07352941176470588,2,2,1,15,0.05474452554744526,8,0.016129032258064516,2,0.05405405405405406,0,0,2,0,0,0,85,119,144,3,2,7,219,0.0273972602739726,5,0,0,1,3,2,4,6,1,6,1,0,8,28.9,4,1,0.024390243902439025,1,-24,13,7,55,0,0,0,0,158,1,0,0,0,0,0,0,1,0,0.6184709668159485,Brodie Grundy,0,15930,7,Collingwood,2021,6,0
2,0.0045871559633027525,1,0.005847953216374269,4,0.0113314447592068,6,0.0076045627376425855,6,100,0,0,0,0,2,0.01639344262295082,1,2,0.02,2,0.028985507246376812,0,2,0,5,0.016835016835016835,1,0.002008032128514056,0,0,0,0,1,0,0,0,74,40,53,1,1,1,80,0.006756756756756757,1,0,0,0,0,0,7,2,0,3,0,0,9,7.8,1,0,0,1,-92,8,3,26,0,0,0,0,74,1,0,0,0,0,0,0,1,0,-0.0010148166911676526,Nathan Vardy,0,16040,16,West Coast,2021,30,0
8,0.019184652278177457,2,0.010526315789473684,5,0.017123287671232876,13,0.018335684062059238,7,54,0,0,0,0,2,0.024691358024691357,2,2,0.020618556701030927,1,0.015625,5,1,3,3,0.011857707509881422,11,0.024175824175824177,0,0,0,0,2,2,0,0,87,40,34,0,1,4,239,0.04201680672268908,2,0,1,1,2,0,6,4,0,2,0,0,10,-0.1,2,0,0,2,-7,6,16,102,0,0,0,0,19,1,0,0,0,0,0,0,0,1,0.0214727483689785,Nik Cox,0,16076,20,Essendon,2021,20,0
7,0.01728395061728395,4,0.023809523809523808,6,0.02197802197802198,13,0.019174041297935103,11,85,1,0.038461538461538464,0,0,1,0.008130081300813009,2,1,0.00980392156862745,3,0.04,1,2,1,9,0.0297029702970297,3,0.008130081300813009,2,0.0625,0,0,0,0,0,0,77,54,78,1,2,3,197,0.013986013986013986,8,0,0,1,0,0,9,6,2,5,4,0,9,13.4,2,1,0.021739130434782608,0,28,12,15,102,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-0.00622649397701025,James Madden,0,15956,10,Brisbane Lions,2021,31,0
7,0.01639344262295082,6,0.031088082901554404,5,0.018115942028985508,12,0.017069701280227598,10,83,0,0,0,0,3,0.03571428571428571,1,0,0,1,0.014925373134328358,0,0,0,4,0.015625,9,0.020785219399538105,1,0.038461538461538464,0,0,1,0,1,0.047619047619047616,80,61,71,0,1,1,136,0.024793388429752067,3,0,0,1,0,0,5,6,0,3,1,0,8,7.6,0,0,0,1,24,11,14,95,0,0,2,0,31,0,1,0,0,0,0,0,0,0,0.06126438081264496,Brandon Starcevich,0,15946,8,Brisbane Lions,2021,13,0
7,0.017811704834605598,6,0.03260869565217391,6,0.020761245674740483,13,0.01906158357771261,9,69,2,0.07692307692307693,0,0,3,0.026785714285714284,1,4,0.04040404040404041,0,0,1,0,0,3,0.012244897959183673,9,0.02088167053364269,0,0,0,0,0,0,2,0.1,78,75,75,0,0,5,213,0.024193548387096774,1,1,0,0,0,0,6,5,2,3,0,0,13,10.4,0,2,0.0392156862745098,0,39,10,16,106,0,0,0,0,208,0,1,0,0,0,1,0,0,0,0.018824629485607147,Matt de Boer,0,16088,22,Greater Western Sydney,2021,20,0
20,0.043859649122807015,9,0.03435114503816794,6,0.021505376344086023,26,0.03537414965986395,21,81,0,0,0,0,3,0.038461538461538464,5,9,0.09574468085106383,0,0,2,0,0,1,0.004784688995215311,24,0.045627376425855515,0,0,0,0,1,0,1,0.14285714285714285,83,111,106,0,0,4,718,0.05042016806722689,2,0,0,0,1,0,6,15,0,1,1,0,10,12.5,3,0,0,1,20,14,8,62,0,0,4,0,229,0,1,0,0,0,0,0,0,1,0.6693508625030518,Isaac Smith,0,16072,20,Geelong,2021,6,0
7,0.016129032258064516,3,0.01639344262295082,4,0.012903225806451613,11,0.01478494623655914,6,55,1,0.038461538461538464,1,0.06666666666666667,3,0.027777777777777776,0,2,0.018018018018018018,0,0,1,0,1,4,0.01384083044982699,6,0.013100436681222707,0,0,0,0,0,0,0,0,77,54,54,0,0,4,133,0.0273972602739726,3,2,0,0,1,0,1,2,4,4,0,0,14,9.6,1,2,0.043478260869565216,0,27,10,15,100,0,0,0,0,91,0,1,0,0,0,1,0,0,0,-0.0049367016181349754,Orazio Fantasia,0,16078,20,Port Adelaide,2021,28,0
23,0.05609756097560976,7,0.04046242774566474,2,0.008620689655172414,25,0.03894080996884735,19,76,0,0,1,0.05555555555555555,2,0.017543859649122806,10,2,0.01904761904761905,0,0,2,1,0,4,0.015444015444015444,15,0.04087193460490463,0,0,0,0,1,0,0,0,82,104,127,0,0,5,641,0.015873015873015872,4,0,0,0,0,0,4,17,0,2,1,1,5,7.6,1,1,0.020833333333333332,0,44,16,13,94,1,1,5,0,236,0,1,0,0,1,0,0,0,0,1.1817835569381714,Daniel Rich,0,16025,15,Brisbane Lions,2021,4,0
11,0.023554603854389723,6,0.02702702702702703,8,0.023668639053254437,19,0.02360248447204969,15,79,2,0.08,2,0.11764705882352941,1,0.010752688172043012,1,4,0.037383177570093455,0,0,2,2,1,7,0.027777777777777776,13,0.023809523809523808,0,0,1,0.037037037037037035,0,1,0,0,83,84,88,0,0,4,356,0.023809523809523808,6,0,0,0,2,1,5,7,0,6,1,1,26,11.9,1,4,0.0784313725490196,0,-18,10,11,76,0,0,0,0,62,1,0,0,1,0,0,0,0,0,0.09723390638828278,Jaidyn Stephenson,0,15941,8,North Melbourne,2021,14,0
10,0.024509803921568627,3,0.018292682926829267,8,0.024539877300613498,18,0.02452316076294278,10,56,1,0.07692307692307693,0,0,4,0.037383177570093455,2,5,0.05434782608695652,1,0.01818181818181818,4,0,1,5,0.01968503937007874,11,0.023454157782515993,0,0,1,0.047619047619047616,2,0,1,0.1,80,74,66,0,1,8,296,0.027972027972027972,4,0,0,0,0,0,12,4,0,5,0,0,25,12.1,2,2,0.047619047619047616,1,-4,15,6,51,0,0,0,0,126,1,0,1,0,0,0,0,0,0,0.032256972044706345,Kane Lambert,0,16077,20,Richmond,2021,22,0
11,0.025404157043879907,3,0.017857142857142856,13,0.041401273885350316,24,0.0321285140562249,19,79,2,0.09090909090909091,1,0.0625,4,0.03773584905660377,0,3,0.02727272727272727,1,0.016666666666666666,1,1,0,4,0.014652014652014652,18,0.03938730853391685,0,0,0,0,2,0,1,0.07142857142857142,85,98,103,0,1,10,264,0.023121387283236993,0,1,0,0,1,0,4,6,1,3,0,0,21,16.3,0,4,0.08163265306122448,1,-2,11,11,77,0,0,7,0,119,1,0,0,0,0,1,0,0,0,1.0625436305999756,Kane Lambert,0,15903,4,Richmond,2021,3,1
17,0.037444933920704845,6,0.046153846153846156,3,0.01048951048951049,20,0.02702702702702703,16,80,0,0,0,0,4,0.024844720496894408,3,3,0.02702702702702703,1,0.012195121951219513,4,2,3,7,0.02127659574468085,12,0.031578947368421054,0,0,0,0,0,0,0,0,79,84,78,0,1,4,345,0.023255813953488372,6,0,0,2,0,0,9,13,0,5,1,0,11,5.4,2,0,0,0,49,15,12,87,0,0,0,0,79,0,1,0,0,1,0,0,0,0,0.005275672767311335,Ryan Burton,0,15943,8,Port Adelaide,2021,28,0
15,0.03694581280788178,4,0.023121387283236993,6,0.019867549668874173,21,0.029661016949152543,18,86,0,0,0,0,5,0.04807692307692308,9,0,0,0,0,6,0,2,5,0.01818181818181818,9,0.02127659574468085,1,0.04,0,0,2,0,0,0,88,83,84,0,0,1,425,0.025477707006369428,7,0,0,1,0,0,7,12,0,4,2,0,7,2.3,1,0,0,1,-22,10,8,58,0,0,0,0,67,1,0,0,0,1,0,0,0,0,0.02215532772243023,Luke Ryan,0,15877,1,Fremantle,2021,22,0
13,0.03044496487119438,4,0.021052631578947368,5,0.01893939393939394,18,0.02604920405209841,14,78,1,0.045454545454545456,0,0,4,0.03125,1,4,0.0425531914893617,5,0.07246376811594203,1,1,0,7,0.026515151515151516,12,0.02877697841726619,0,0,0,0,0,0,1,0.05263157894736842,86,84,94,3,2,3,272,0.023809523809523808,0,1,0,0,0,0,18,10,1,5,0,1,28,10.7,1,1,0.022222222222222223,0,5,6,12,78,0,0,0,0,47,0,1,1,0,0,0,0,0,0,0.0363667868077755,Josh Daicos,0,15999,12,Collingwood,2021,18,0
9,0.020316027088036117,8,0.037914691943127965,8,0.030418250950570342,17,0.024079320113314446,13,77,1,0.045454545454545456,3,0.15,1,0.010309278350515464,2,2,0.019230769230769232,2,0.03333333333333333,1,0,0,8,0.032388663967611336,11,0.024282560706401765,0,0,4,0.13793103448275862,3,0,0,0,77,80,95,0,2,9,261,0.015267175572519083,1,1,0,0,2,0,0,5,2,6,0,2,11,7.8,1,4,0.0784313725490196,1,10,11,12,83,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0.041579414159059525,Matthew Owies,0,16033,15,Carlton,2021,16,0
3,0.007281553398058253,1,0.0049261083743842365,6,0.02,9,0.012640449438202247,7,78,0,0,0,0,2,0.021505376344086023,0,2,0.0196078431372549,0,0,0,1,0,5,0.0228310502283105,4,0.008281573498964804,0,0,1,0.041666666666666664,1,0,1,0.05555555555555555,70,33,57,0,0,7,78,0.01098901098901099,2,0,0,0,4,0,1,2,3,4,0,1,6,5.8,1,1,0.018867924528301886,0,18,14,13,92,0,0,0,0,10,0,1,0,1,0,0,0,0,0,-0.010470354929566383,Alec Waterman,0,16057,18,Essendon,2021,31,0
5,0.012254901960784314,3,0.01744186046511628,9,0.02425876010781671,14,0.01797175866495507,11,79,0,0,0,0,1,0.0078125,0,1,0.008547008547008548,0,0,4,1,1,6,0.021897810218978103,8,0.01642710472279261,1,0.043478260869565216,0,0,2,0,0,0,86,44,51,0,0,2,160,0.0196078431372549,8,0,1,2,0,0,7,3,0,4,2,0,9,7.6,1,0,0,2,-1,13,13,91,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0.012173027731478214,Aaron Francis,0,15879,1,Essendon,2021,22,0
7,0.015384615384615385,1,0.004807692307692308,1,0.004,8,0.011347517730496455,3,38,0,0,0,0,4,0.0392156862745098,0,4,0.04081632653061224,1,0.012987012987012988,5,1,1,5,0.01953125,4,0.008988764044943821,0,0,0,0,3,0,0,0,65,42,40,1,0,2,153,0.027210884353741496,0,1,1,1,0,0,1,2,0,2,0,1,8,5.1,1,2,0.044444444444444446,2,10,10,10,70,0,0,0,0,9,0,1,0,1,0,0,0,0,0,-0.0014246389036998153,Tristan Xerri,0,16051,17,North Melbourne,2021,31,0
10,0.022675736961451247,6,0.029556650246305417,12,0.04195804195804196,22,0.030261348005502064,15,68,0,0,1,0.04,4,0.043010752688172046,1,3,0.027522935779816515,0,0,5,0,1,4,0.01593625498007968,19,0.04051172707889126,0,0,0,0,1,0,2,0.1111111111111111,84,86,79,0,0,8,224,0.03007518796992481,1,0,0,0,1,0,6,7,0,4,1,0,14,3,1,1,0.01639344262295082,0,-45,12,10,72,0,0,0,0,118,1,0,1,0,0,0,0,0,0,-0.03451858460903168,Kane Lambert,0,15896,3,Richmond,2021,36,0
8,0.016913319238900635,2,0.009950248756218905,11,0.03503184713375796,19,0.0241423125794155,13,68,0,0,0,0,5,0.038461538461538464,3,3,0.029411764705882353,1,0.0136986301369863,6,0,2,10,0.03636363636363636,9,0.018108651911468814,1,0.05555555555555555,0,0,2,0,0,0,76,99,126,0,1,2,181,0.02962962962962963,4,1,0,0,1,0,7,4,2,8,2,0,18,14.2,0,0,0,2,-9,13,8,61,0,0,0,0,164,1,0,0,0,0,0,0,1,0,-0.11276067793369293,Brodie Grundy,0,16041,16,Collingwood,2021,45,0
11,0.0267639902676399,5,0.02717391304347826,6,0.024291497975708502,17,0.025835866261398176,10,59,1,0.038461538461538464,2,0.13333333333333333,1,0.009259259259259259,1,3,0.03225806451612903,1,0.01282051282051282,2,2,0,7,0.02631578947368421,10,0.02512562814070352,0,0,0,0,2,0,0,0,85,74,83,0,1,8,321,0.016129032258064516,4,1,0,0,2,1,0,6,2,4,0,0,8,6.8,3,3,0.06666666666666667,2,97,10,21,136,0,0,0,0,52,0,1,0,1,0,0,0,0,0,0.04867977648973465,Gryan Miers,0,15921,6,Geelong,2021,13,0
14,0.03233256351039261,6,0.03571428571428571,9,0.028662420382165606,23,0.030789825970548863,18,78,0,0,0,0,2,0.018867924528301886,8,2,0.01818181818181818,1,0.016666666666666666,4,1,1,8,0.029304029304029304,11,0.024070021881838075,2,0.13333333333333333,0,0,8,0,0,0,100,84,103,0,1,3,463,0.023121387283236993,5,0,0,4,0,0,2,11,0,5,2,0,4,5.9,2,0,0,7,2,13,11,79,1,1,2,0,68,0,1,0,0,0,0,0,0,0,0.3916959762573242,Aliir Aliir,0,15903,4,Port Adelaide,2021,9,0
5,0.011933174224343675,4,0.02127659574468085,4,0.01568627450980392,9,0.013353115727002967,7,78,0,0,0,0,3,0.022222222222222223,3,1,0.010752688172043012,0,0,3,1,2,2,0.00796812749003984,6,0.014742014742014743,0,0,0,0,8,1,0,0,91,42,44,0,0,0,30,0.009900990099009901,3,0,0,4,0,0,5,4,0,1,0,0,6,1.4,0,0,0,8,-20,8,10,68,0,0,1,0,26,1,0,0,0,0,0,0,0,0,-0.024551399052143097,Ben McKay,0,15982,11,North Melbourne,2021,39,0
